"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\.github\workflows\lint.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 10, 46
"d:\PROYECTOCALENDARIO\proyectogiftcard\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 12, 51
"d:\PROYECTOCALENDARIO\proyectogiftcard\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\PROYECTOCALENDARIO\proyectogiftcard\.prettierrc", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\CreateNewUser.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 40
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\ResetUserPassword.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 29
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\ClienteController.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 32, 210
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\ClienteDashboardController.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 92
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Controller.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\PasswordController.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 39
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\ProfileController.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 64
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\TwoFactorAuthenticationController.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 38
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\TarjetaGiftCardController.php", "PHP", 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 68, 446
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\UserController.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 101
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Middleware\HandleAppearance.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 56
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Middleware\RoleMiddleware.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Requests\Settings\ProfileUpdateRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 33
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Requests\Settings\TwoFactorAuthenticationRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 31
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\Cliente.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\Movimiento.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\TarjetaGiftCard.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 46
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Models\User.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 58
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Policies\ClientePolicy.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 16, 103
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Policies\TarjetaGiftCardPolicy.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 17, 115
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Providers\AppServiceProvider.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 32
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Providers\FortifyServiceProvider.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 107
"d:\PROYECTOCALENDARIO\proyectogiftcard\app\Services\GiftCardService.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 46
"d:\PROYECTOCALENDARIO\proyectogiftcard\bootstrap\app.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 34
"d:\PROYECTOCALENDARIO\proyectogiftcard\bootstrap\providers.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\PROYECTOCALENDARIO\proyectogiftcard\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"d:\PROYECTOCALENDARIO\proyectogiftcard\composer.json", "JSON", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"d:\PROYECTOCALENDARIO\proyectogiftcard\composer.lock", "JSON", 0, 0, 0, 0, 0, 10072, 0, 0, 0, 0, 0, 1, 10073
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 23, 127
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\cache.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 19, 118
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\database.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 23, 184
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 81
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\fortify.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 26, 158
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\inertia.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 56
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 21, 133
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\mail.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 19, 119
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\permission.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 48, 203
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\queue.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 20, 130
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"d:\PROYECTOCALENDARIO\proyectogiftcard\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"d:\PROYECTOCALENDARIO\proyectogiftcard\database\factories\UserFactory.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 60
"d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 50
"d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"d:\PROYECTOCALENDARIO\proyectogiftcard\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 58
