Date : 2025-12-01 16:10:38
Directory : d:\PROYECTOCALENDARIO\proyectogiftcard
Total : 204 files,  31783 codes, 1465 comments, 1855 blanks, all 35103 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     18,282 |          0 |          6 |     18,288 |
| TypeScript JSX     |        108 |      9,770 |         71 |        819 |     10,660 |
| PHP                |         73 |      3,167 |      1,296 |        924 |      5,387 |
| TypeScript         |          8 |        260 |          4 |         48 |        312 |
| PostCSS            |          1 |        123 |          0 |         21 |        144 |
| YAML               |          2 |         70 |          5 |         22 |         97 |
| XML                |          3 |         54 |          0 |          3 |         57 |
| JavaScript         |          1 |         34 |          1 |          2 |         37 |
| JSON with Comments |          1 |         21 |         88 |          9 |        118 |
| Ignore             |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        204 |     31,783 |      1,465 |      1,855 |     35,103 |
| . (Files)                                                                                                              |         11 |     18,400 |         89 |         21 |     18,510 |
| .github                                                                                                                |          2 |         70 |          5 |         22 |         97 |
| .github\workflows                                                                                                      |          2 |         70 |          5 |         22 |         97 |
| app                                                                                                                    |         25 |      1,241 |        316 |        301 |      1,858 |
| app\Actions                                                                                                            |          3 |         57 |         15 |         16 |         88 |
| app\Actions\Fortify                                                                                                    |          3 |         57 |         15 |         16 |         88 |
| app\Http                                                                                                               |         13 |        813 |        177 |        193 |      1,183 |
| app\Http\Controllers                                                                                                   |          8 |        703 |        135 |        163 |      1,001 |
| app\Http\Controllers (Files)                                                                                           |          5 |        610 |        114 |        136 |        860 |
| app\Http\Controllers\Settings                                                                                          |          3 |         93 |         21 |         27 |        141 |
| app\Http\Middleware                                                                                                    |          3 |         70 |         29 |         19 |        118 |
| app\Http\Requests                                                                                                      |          2 |         40 |         13 |         11 |         64 |
| app\Http\Requests\Settings                                                                                             |          2 |         40 |         13 |         11 |         64 |
| app\Models                                                                                                             |          4 |        138 |         18 |         28 |        184 |
| app\Policies                                                                                                           |          2 |        120 |         65 |         33 |        218 |
| app\Providers                                                                                                          |          2 |         89 |         26 |         24 |        139 |
| app\Services                                                                                                           |          1 |         24 |         15 |          7 |         46 |
| bootstrap                                                                                                              |          2 |         32 |          2 |          7 |         41 |
| config                                                                                                                 |         13 |        594 |        807 |        281 |      1,682 |
| database                                                                                                               |         13 |        694 |        120 |        121 |        935 |
| database\factories                                                                                                     |          1 |         36 |         17 |          7 |         60 |
| database\migrations                                                                                                    |          8 |        321 |         50 |         61 |        432 |
| database\seeders                                                                                                       |          4 |        337 |         53 |         53 |        443 |
| public                                                                                                                 |          3 |         29 |          4 |          9 |         42 |
| resources                                                                                                              |        117 |     10,167 |         75 |        896 |     11,138 |
| resources\css                                                                                                          |          1 |        123 |          0 |         21 |        144 |
| resources\js                                                                                                           |        115 |     10,004 |         75 |        865 |     10,944 |
| resources\js (Files)                                                                                                   |          2 |         49 |          1 |          9 |         59 |
| resources\js\components                                                                                                |         66 |      6,074 |         42 |        510 |      6,626 |
| resources\js\components (Files)                                                                                        |         25 |      1,505 |          9 |        128 |      1,642 |
| resources\js\components\Clientes                                                                                       |          4 |        692 |          3 |         44 |        739 |
| resources\js\components\GiftCards                                                                                      |          6 |        786 |          6 |         53 |        845 |
| resources\js\components\Movements                                                                                      |          1 |        341 |          4 |         13 |        358 |
| resources\js\components\Transactions                                                                                   |          1 |        254 |          5 |         18 |        277 |
| resources\js\components\Users                                                                                          |          1 |        127 |          2 |          5 |        134 |
| resources\js\components\ui                                                                                             |         28 |      2,369 |         13 |        249 |      2,631 |
| resources\js\hooks                                                                                                     |          6 |        201 |          6 |         63 |        270 |
| resources\js\layouts                                                                                                   |          8 |        291 |          1 |         28 |        320 |
| resources\js\layouts (Files)                                                                                           |          2 |         29 |          0 |          5 |         34 |
| resources\js\layouts\app                                                                                               |          2 |         36 |          0 |          4 |         40 |
| resources\js\layouts\auth                                                                                              |          3 |        146 |          0 |         11 |        157 |
| resources\js\layouts\settings                                                                                          |          1 |         80 |          1 |          8 |         89 |
| resources\js\lib                                                                                                       |          1 |         15 |          0 |          4 |         19 |
| resources\js\pages                                                                                                     |         29 |      3,272 |         23 |        237 |      3,532 |
| resources\js\pages (Files)                                                                                             |          2 |        840 |          0 |          6 |        846 |
| resources\js\pages\Cliente                                                                                             |          2 |        199 |          3 |         17 |        219 |
| resources\js\pages\Clientes                                                                                            |          4 |        164 |          0 |         20 |        184 |
| resources\js\pages\Dashboard                                                                                           |          1 |        340 |         11 |         22 |        373 |
| resources\js\pages\Encargado                                                                                           |          1 |        289 |          5 |         19 |        313 |
| resources\js\pages\GiftCards                                                                                           |          4 |        163 |          0 |         20 |        183 |
| resources\js\pages\Movements                                                                                           |          1 |         72 |          1 |          7 |         80 |
| resources\js\pages\Transactions                                                                                        |          1 |         32 |          0 |          4 |         36 |
| resources\js\pages\Users                                                                                               |          2 |        178 |          1 |         20 |        199 |
| resources\js\pages\auth                                                                                                |          7 |        576 |          2 |         52 |        630 |
| resources\js\pages\settings                                                                                            |          4 |        419 |          0 |         50 |        469 |
| resources\js\types                                                                                                     |          3 |        102 |          2 |         14 |        118 |
| resources\views                                                                                                        |          1 |         40 |          0 |         10 |         50 |
| routes                                                                                                                 |          3 |         89 |         15 |         29 |        133 |
| tests                                                                                                                  |         15 |        467 |         32 |        168 |        667 |
| tests (Files)                                                                                                          |          2 |         16 |         32 |         11 |         59 |
| tests\Feature                                                                                                          |         12 |        447 |          0 |        156 |        603 |
| tests\Feature (Files)                                                                                                  |          2 |         14 |          0 |          7 |         21 |
| tests\Feature\Auth                                                                                                     |          7 |        269 |          0 |         99 |        368 |
| tests\Feature\Settings                                                                                                 |          3 |        164 |          0 |         50 |        214 |
| tests\Unit                                                                                                             |          1 |          4 |          0 |          1 |          5 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\PROYECTOCALENDARIO\proyectogiftcard\.github\workflows\lint.yml                                                      | YAML               |         31 |          5 |         10 |         46 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\.github\workflows\tests.yml                                                     | YAML               |         39 |          0 |         12 |         51 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\.prettierignore                                                                 | Ignore             |          2 |          0 |          1 |          3 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\.prettierrc                                                                     | JSON               |         25 |          0 |          1 |         26 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\CreateNewUser.php                                           | PHP                |         29 |          5 |          6 |         40 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\PasswordValidationRules.php                                 | PHP                |         10 |          5 |          4 |         19 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Actions\Fortify\ResetUserPassword.php                                       | PHP                |         18 |          5 |          6 |         29 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\ClienteController.php                                      | PHP                |        149 |         29 |         32 |        210 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\ClienteDashboardController.php                             | PHP                |         68 |          8 |         16 |         92 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Controller.php                                             | PHP                |          7 |          0 |          4 |         11 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\PasswordController.php                            | PHP                |         26 |          6 |          7 |         39 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\ProfileController.php                             | PHP                |         41 |          9 |         14 |         64 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\Settings\TwoFactorAuthenticationController.php             | PHP                |         26 |          6 |          6 |         38 |
| d:\PROYECTOCALENDARIO\proyectogiftcard\app\Http\Controllers\TarjetaGiftCardController.php                              | PHP                |        314 |         64 |         68 |        446 |
